小说名,标准化类符/形符比,类别
英雄联盟之七百年后,0.207798,succ
英雄联盟之齐巅大圣,0.120326,unsucc
英雄联盟之全民解说,0.264155,succ
英雄联盟之荣耀之巅,0.126321,unsucc
英雄联盟之神之手系统,0.103355,unsucc
英雄联盟之胜者无双,0.250238,succ
英雄联盟之王者为神,0.130333,unsucc
英雄联盟之王座传奇,0.215557,succ
英雄联盟之我师父无敌,0.220933,succ
英雄联盟之无限传承,0.097512,unsucc
英雄联盟之无限进化,0.107364,unsucc
英雄联盟之叶落知秋,0.111089,unsucc
英雄联盟之最强暧昧,0.109037,unsucc
英雄联盟之最强主播,0.252874,succ
英雄联盟重回巅峰,0.142358,unsucc
英雄命运,0.177188,succ
英雄无敌大军在异界,0.233594,succ
英雄无敌之上古洪荒,0.101811,unsucc
英雄无敌之十二翼天使,0.128109,succ
英雄无敌之亡灵暴君,0.222177,succ
英雄无敌之新势力崛起,0.195166,succ
英雄无敌之血尊,0.245809,succ
英雄无敌之召唤千军,0.217557,succ
英雄无敌之最强驯兽师,0.219516,succ
英雄之国,0.246145,succ
英雄之轮,0.137937,succ
鹰翔,0.192911,succ
影剑,0.187029,succ
幽暗主宰,0.241891,succ
游戏发展中,0.219376,succ
游戏降临现实,0.216656,succ
游戏降临异世界,0.197522,succ
游戏开发指南,0.15368,succ
游戏旅途,0.199988,succ
游戏三国之英雄传说,0.256366,succ
游戏小工之元素操控师,0.222066,succ
游戏之梦战记,0.126985,unsucc
又要搞事情的游戏,0.132281,unsucc
娱乐道士,0.162883,unsucc
预续入侵回忆录,0.092706,unsucc
元素高塔,0.19087,succ
元素之王,0.209877,succ
原住民,0.255876,succ
在网游中修真的——病毒？,0.221724,succ
在修仙界玩网游,0.20865,succ
贼胆,0.209297,succ
战破苍穹,0.268356,succ
战神领主,0.220553,succ
召唤女神,0.216586,succ
召唤圣剑,0.229476,succ
召唤系主宰,0.241442,succ
这个恶魔画风不对,0.116674,unsucc
真帝势无双,0.178797,succ
真理猎人,0.094333,unsucc
真正的游戏,0.141516,unsucc
征服岁月,0.225459,succ
执卡者,0.172052,succ
终极僵尸,0.202943,succ
终极牧师,0.258289,succ
终末之城,0.210495,succ
众生之门,0.206721,succ
众星之墓,0.098777,unsucc
重生仙女派NPC,0.237296,succ
重生之暗夜崛起,0.222333,succ
重生之超级战神,0.240669,succ
重生之城市攻略,0.223563,succ
重生之恶魔猎人,0.24453,succ
重生之法神传说,0.223857,succ
重生之焚尽八荒,0.219036,succ
重生之封神演义,0.218617,succ
重生之狙击手,0.247084,succ
重生之亡灵,0.07671,unsucc
重生之我是BOSS,0.204427,succ
重生之无敌女仆系统,0.1197,unsucc
重生之武神道,0.231674,succ
重生之贼行天下,0.216057,succ
重生之最强绝地求生大逃杀,0.099367,unsucc
重生之最强灵剑,0.115286,unsucc
重置属性,0.245417,succ
主播的撕名牌游戏,0.098026,unsucc
主神崛起,0.263066,succ
铸圣庭,0.230346,succ
转职成反派了,0.125156,unsucc
最强游戏分身,0.219635,succ
