r,v,nh,n,u,nt,p,e,nd,m,d,i,wp,a,句子数,停顿数,句子破碎Success,
1.390011891,4.520808561,0.266349584,4.234244946,2.149821641,0.120095125,4.262782402,0.01783591,0.424494649,0.807372176,2.439952438,0.218787158,3.673008323,0.940546968,1682,4642,2.75980975,unsucc
1.98940678,5.921610169,0.677966102,6.146186441,2.830508475,0.184322034,5.230932203,0.025423729,0.506355932,1.118644068,3.131355932,0.199152542,4.360169492,1.019067797,472,1570,3.326271186,succ
1.420833333,4.423958333,0.388541667,3.945833333,1.880208333,0.095833333,4.442708333,0.033333333,0.283333333,0.814583333,1.969791667,0.15,4.010416667,0.792708333,1920,5966,3.107291667,unsucc
1.248054475,4.077821012,0.31614786,4.291828794,2.060311284,0.120622568,3.859922179,0.010700389,0.35311284,0.641050584,1.868677043,0.129377432,3.335603113,0.861867704,1028,2733,2.658560311,succ
1.36,5.67047619,0.192380952,5.657142857,2.927619048,0.127619048,4.443809524,0.026666667,0.580952381,0.775238095,2.801904762,0.152380952,3.51047619,1.281904762,525,1382,2.632380952,succ
1.612149533,6.827102804,0.327102804,6.714953271,2.193925234,0.231308411,5.38317757,0.004672897,0.602803738,1.726635514,3.315420561,0.264018692,4.446261682,1.406542056,428,1785,4.170560748,succ
1.259286235,3.20975965,0.370721049,3.105608157,1.983976693,0.139839767,3.588492353,0.069191551,0.28186453,0.357611071,1.643845594,0.141296431,3.111434814,0.628550619,2746,5796,2.110706482,unsucc
1.588839941,5.041116006,0.392070485,4.572687225,2.447870778,0.12041116,5.34948605,0.049926579,0.399412628,1.002936858,2.649045521,0.189427313,4.847283407,1.10866373,681,2920,4.287812041,succ
1.707373272,5.532258065,0.267281106,4.488479263,2.041474654,0.124423963,4.698156682,0.050691244,0.417050691,0.815668203,2.582949309,0.177419355,4.131336406,0.894009217,868,2666,3.071428571,unsucc
1.789883268,5.705577173,0.225680934,5.556420233,2.836575875,0.17769131,4.858625162,0.014267185,0.654993515,0.997405966,3.521400778,0.217898833,3.773022049,1.137483787,771,2524,3.273670558,succ
1.299424184,3.8243762,0.802303263,4.262955854,1.994241843,0.237044146,3.923224568,0.026871401,0.296545106,0.80806142,2.104606526,0.233205374,3.36756238,0.74184261,1042,3051,2.928023033,succ
2.122905028,7.817504655,0.830540037,8.82122905,3.463687151,0.286778399,8.150837989,0.03538175,0.648044693,1.865921788,3.597765363,0.314711359,7.022346369,1.446927374,537,2900,5.400372439,succ
1.182247403,3.69782814,0.042492918,3.000944287,1.43720491,0.113314448,2.711992446,0.01605288,0.284230406,0.770538244,1.770538244,0.078375826,2.360717658,0.661000944,1059,1894,1.788479698,succ
1.098982424,4.111008326,0.480111008,3.854764107,1.858464385,0.096207216,4.07493062,0.034227567,0.337650324,0.736355227,2.08973173,0.138760407,3.511563367,0.866790009,1081,3029,2.802035153,succ
1.115907274,3.792965627,0.698641087,3.558752998,1.828936851,0.132693845,4.112709832,0.018385292,0.35891287,0.482014388,1.807354117,0.129496403,3.534772182,0.634692246,1251,3431,2.742605915,succ
1.625201939,5.878836834,0.798061389,5.71082391,2.515347334,0.2180937,5.282714055,0.035541195,0.378029079,0.736672052,2.589660743,0.242326333,4.684975767,1.001615509,619,2295,3.707592892,succ
1.190009794,3.804113614,0.362389814,3.422135162,1.272282076,0.146914789,3.782566112,0.014691479,0.369245837,0.681684623,1.994123408,0.161606268,3.282076396,0.529872674,1021,2785,2.727717924,succ
1.473314607,4.058988764,0.21488764,3.473314607,1.771067416,0.241573034,4.247191011,0.009831461,0.293539326,0.554775281,1.886235955,0.096910112,3.759831461,0.804775281,712,2039,2.863764045,succ
1.033264033,4.260914761,0.238045738,4.656964657,1.849272349,0.123700624,4.643451143,0.016632017,0.387733888,1.085239085,1.923076923,0.154885655,4.083160083,0.742203742,1924,5584,2.902286902,unsucc
