r,v,nh,n,u,nt,p,e,nd,m,d,i,wp,a,句子数,停顿数,句子破碎度,Success
1.376749193,4.447793326,0.231431647,4.278794403,2.346609257,0.092572659,3.594187298,0.010764263,0.459634015,0.709364909,2.444564047,0.184068891,2.834230355,1.020452099,929,2186,2.353067815,succ
1.173564753,4.574098798,0.381842457,4.507343124,3.077436582,0.109479306,4.144192256,0.02670227,0.380507343,0.794392523,2.222963952,0.265687583,3.538050734,1.048064085,749,2236,2.985313752,succ
1.458990536,3.90851735,1.052050473,4.746056782,1.943217666,0.164037855,4.313880126,0.028391167,0.364353312,0.586750789,1.791798107,0.127760252,3.720820189,0.730283912,1268,3544,2.794952681,unsucc
1.537037037,5.981481481,0.407407407,6.643518519,3.111111111,0.166666667,5.12037037,0.006944444,0.553240741,1.291666667,2.796296296,0.226851852,4.321759259,1.296296296,432,1624,3.759259259,succ
1.922800718,6.18491921,0.92459605,6.136445242,3.36983842,0.192100539,4.982046679,0.023339318,0.468581688,0.962298025,2.965888689,0.208258528,4.141831239,1.287253142,1114,3792,3.403949731,unsucc
1.751152074,6.608294931,0.419354839,7.32718894,3.324884793,0.331797235,6.064516129,0.004608295,0.633640553,1.221198157,3.403225806,0.239631336,5.225806452,1.313364055,434,1891,4.357142857,succ
2.715719064,9.906354515,0.809364548,10.11036789,3.705685619,0.277591973,6.939799331,0.023411371,1.160535117,1.739130435,4.531772575,0.240802676,5.408026756,1.62541806,299,1390,4.648829431,succ
2.628620102,5.689948893,0.30834753,4.594548552,3.306643952,0.228279387,5.028960818,0.030664395,0.468483816,0.693356048,2.415672913,0.156729131,4.146507666,1.241908007,1174,3714,3.163543441,unsucc
1.710204082,5.83877551,0.118367347,5.420408163,2.481632653,0.224489796,5.059183673,0.006122449,0.555102041,1.17755102,3.485714286,0.236734694,4.255102041,1.134693878,490,1685,3.43877551,succ
1.83220339,5.540677966,0.911864407,5.727118644,2.318644068,0.133898305,5.154237288,0.001694915,0.389830508,0.877966102,2.491525424,0.250847458,4.405084746,0.83559322,1180,4132,3.501694915,unsucc
