小说名,标准化类符/形符比,类别
河图,0.235987,succ
核血机心,0.216477,succ
黑暗裁决,0.251301,succ
黑暗大纪元,0.212297,succ
黑暗国术,0.253308,succ
黑暗降临,0.276131,succ
黑暗守望者,0.20379,succ
黑暗文明,0.213836,succ
黑暗无限,0.230108,succ
黑暗者的游戏末日,0.092006,unsucc
黑典,0.130063,unsucc
黑科技垄断公司,0.232773,succ
黑魔导,0.224056,succ
黑魔法师,0.190743,succ
黑执事,0.181603,succ
横刀立马,0.170474,succ
横行霸刀,0.233433,succ
横行在异世,0.241136,succ
横扫荒宇,0.20617,succ
横扫无疆,0.138131,unsucc
横星无忌,0.208135,succ
红顶位面商人,0.231352,succ
红枫战士,0.103023,unsucc
红警传奇,0.122532,unsucc
红警末世军团,0.117549,unsucc
红警之超时空兵团,0.251883,succ
红怜宝鉴,0.226763,succ
红颜素手,0.126029,unsucc
红月之书,0.208724,succ
洪荒奇门,0.20168,succ
洪荒王者,0.059933,unsucc
洪荒之大觉醒,0.117981,unsucc
后世之主,0.116116,unsucc
狐乱洪荒,0.110637,unsucc
虎啸平天,0.100686,unsucc
花帝,0.192217,succ
化星,0.208786,succ
欢迎来到BOSS队,0.25085,succ
欢迎来到实力至上的异世界,0.113677,unsucc
环游诸天,0.071749,unsucc
幻皇武帝,0.255768,succ
幻世梵天,0.195329,succ
幻兽少年,0.206563,succ
幻想降临时,0.260308,succ
幻想降临现实,0.211933,succ
幻想世界穿越法则,0.219616,succ
幻想世界大复制,0.230348,succ
换个位面继续活,0.120529,unsucc
荒古称尊,0.111555,unsucc
皇极天,0.220725,succ
皇牌龙骑,0.205656,succ
皇气,0.208786,succ
黄龙真人异界游,0.216133,succ
毁灭之眼,0.23147,succ
会穿越的外交官,0.21352,succ
会武功的德鲁伊,0.23297,succ
混沌黎明,0.104782,unsucc
混沌灵种,0.141356,unsucc
混沌谱,0.150428,succ
混沌神诀,0.142296,unsucc
混迹在电影世界,0.20015,succ
混乱战神,0.199,succ
混元武宗,0.242988,succ
混在漫威当法爷,0.250929,succ
混在丧尸的世界,0.231094,succ
魂师,0.25398,succ
火焚阴阳,0.108334,unsucc
火炼星空,0.229128,succ
火凌乾坤,0.211773,succ
机动战队—未来,0.150885,unsucc
机甲狙击手,0.216308,succ
机甲农民,0.191368,succ
机甲圣域,0.093009,unsucc
机器风暴,0.289132,succ
机器人1号,0.109603,unsucc
机械末日,0.231512,succ
机械神皇,0.177928,succ
机械战士,0.21114,succ
基甲彪汉,0.363716,succ
极道炼法,0.10859,unsucc
极度名门,0.106311,unsucc
极牛鬼才在异界,0.220328,succ
极品矮人王,0.171026,succ
极品大教皇,0.215938,succ
极品辅助系统,0.24078,succ
极品通灵王,0.214804,succ
极品邪恶反派召唤师,0.223984,succ
极品修真路,0.104542,unsucc
极品直播武魂,0.128817,unsucc
极品庄主,0.107282,unsucc
极限恐惧,0.191465,succ
极限武修,0.351418,succ
集卡人生,0.27672,succ
记忆苍穹,0.195812,succ
记忆的彼岸,0.115261,unsucc
纪元黎明,0.243752,succ
寂静杀戮,0.225746,succ
寂灭天骄,0.236636,succ
甲武圣徒,0.225858,succ
间客,0.244509,succ
监控天琴人,0.235854,succ
兼职大反派,0.266354,succ
见习术士,0.205847,succ
见习阴差,0.208975,succ
剑傲九天,0.185076,succ
剑傲重生,0.279079,succ
剑道独神,0.222699,succ
剑道独宰,0.103883,unsucc
剑道独尊,0.142757,succ
剑道神帝,0.131166,unsucc
