@relation pima_diabetes
@attribute '规则1' numeric
@attribute '规则2' numeric
@attribute '规则3' numeric
@attribute '规则4' numeric
@attribute '规则5' numeric
@attribute '规则6' numeric
@attribute '规则7' numeric
@attribute '规则8' numeric
@attribute '规则9' numeric
@attribute '规则10' numeric
@attribute '规则11' numeric
@attribute '规则12' numeric
@attribute '规则13' numeric
@attribute '规则14' numeric
@attribute '规则15' numeric
@attribute '规则16' numeric
@attribute '规则17' numeric
@attribute '规则18' numeric
@attribute 'class' { unsucc, succ}
@data
0.05271,0.048998,0.051225,0.035783,0.024202,0.029696,0.021084,0.021678,0.021381,0.018411,0.023163,0.018263,0.014402,0.012472,0.014699,0.009057,0.013808,0.014105,succ
0.053419,0.050576,0.048182,0.035164,0.030525,0.029627,0.02873,0.00015,0.029179,0.00015,0.023044,0.017657,0.022894,0.00015,0.021398,0.02439,0.014215,0.00015,succ
0.051751,0.044089,0.040392,0.037234,0.033,0.022918,0.026211,0.022044,0.025203,0.018281,0.019155,0.016937,0.015996,0.011358,0.02023,0.020566,0.015458,0.01203,unsucc
0.051955,0.043689,0.043427,0.032013,0.033193,0.029389,0.026109,0.017449,0.019942,0.016793,0.019811,0.017449,0.01863,0.008528,0.018761,0.017712,0.011546,0.009446,succ
0.057187,0.055064,0.062139,0.035491,0.02653,0.032072,0.022167,0.017569,0.023346,0.01521,0.024407,0.018276,0.016154,0.008607,0.014857,0.015682,0.013796,0.012499,succ
0.00015,0.00015,0.00015,0.00015,0.00015,0.034767,0.00015,0.00015,0.00015,0.00015,0.026075,0.016185,0.017983,0.009141,0.015285,0.017683,0.00015,0.014236,succ
0.000158,0.000158,0.000158,0.000158,0.000158,0.04955,0.000158,0.000158,0.000158,0.000158,0.018779,0.020041,0.022724,0.006628,0.015307,0.013729,0.000158,0.011362,unsucc
0.049298,0.056833,0.051724,0.029119,0.036015,0.037803,0.027331,0.026692,0.017752,0.023755,0.01788,0.020945,0.020817,0.007791,0.014687,0.01341,0.007791,0.015709,succ
0.054486,0.043926,0.041441,0.036472,0.033188,0.02396,0.025734,0.026267,0.024492,0.021919,0.020144,0.015352,0.014819,0.009673,0.018813,0.018103,0.011625,0.01269,unsucc
0.057919,0.051611,0.046766,0.036843,0.023921,0.024537,0.018076,0.032921,0.024537,0.028998,0.023767,0.017383,0.012691,0.019691,0.014922,0.011922,0.01523,0.022767,unsucc
0.056737,0.040756,0.040903,0.039071,0.026096,0.021258,0.023237,0.023164,0.025363,0.020085,0.021551,0.015394,0.01554,0.011582,0.017153,0.018766,0.015247,0.012168,unsucc
0.04656,0.047521,0.044225,0.0331,0.023211,0.032276,0.019503,0.0217,0.021426,0.019503,0.021838,0.015383,0.017031,0.012224,0.015108,0.012361,0.010163,0.015383,succ
0.053269,0.057367,0.052735,0.036344,0.033137,0.034028,0.023695,0.018885,0.026902,0.019063,0.023517,0.022092,0.024586,0.011758,0.018885,0.018885,0.013273,0.013896,succ
0.056004,0.044205,0.04555,0.030615,0.036141,0.0283,0.033005,0.027479,0.020012,0.024343,0.019265,0.022849,0.023596,0.011798,0.016876,0.014486,0.010454,0.016876,unsucc
0.057035,0.054958,0.048347,0.030595,0.03305,0.026629,0.023607,0.030028,0.016619,0.021152,0.016619,0.017753,0.018886,0.005666,0.012465,0.007554,0.014731,0.015486,unsucc
0.060814,0.054113,0.048584,0.029653,0.035684,0.032166,0.025465,0.019099,0.019434,0.016083,0.019936,0.017591,0.020774,0.006534,0.018596,0.015413,0.013738,0.01156,succ
0.044269,0.051269,0.043045,0.000175,0.027297,0.035521,0.023797,0.020822,0.000175,0.018198,0.000175,0.021697,0.025722,0.000175,0.000175,0.000175,0.018898,0.014873,succ
0.053165,0.05167,0.04436,0.03273,0.034723,0.029573,0.027081,0.031068,0.019937,0.021764,0.020601,0.017445,0.019272,0.014454,0.018109,0.014787,0.010799,0.015949,succ
0.060525,0.000157,0.000157,0.042761,0.026725,0.000157,0.019808,0.016507,0.027669,0.014149,0.000157,0.000157,0.000157,0.009432,0.017293,0.019494,0.020437,0.000157,succ
0.061344,0.061993,0.054852,0.027805,0.023369,0.041437,0.021854,0.024559,0.022179,0.01915,0.019907,0.016337,0.0185,0.009953,0.012658,0.011685,0.009304,0.015363,succ
0.050775,0.051284,0.047962,0.033632,0.029825,0.029509,0.025897,0.026188,0.022429,0.020877,0.024248,0.021241,0.020538,0.009845,0.016464,0.015979,0.01336,0.014355,unsucc
