@relation pima_diabetes
@attribute 'daici' numeric
@attribute 'dongci' numeric
@attribute 'renming' numeric
@attribute 'mingci' numeric
@attribute 'zhuci' numeric
@attribute 'shijianmingci' numeric
@attribute 'jieci' numeric
@attribute 'gantanci' numeric
@attribute 'fangweimingci' numeric
@attribute 'shuci' numeric
@attribute 'fuci' numeric
@attribute 'xiyu' numeric
@attribute 'biaodian' numeric
@attribute 'xingrongci' numeric
@attribute 'juzishu' numeric
@attribute 'tingdunshu' numeric
@attribute 'juziposuidu' numeric
@attribute 'class' { unsucc, succ}
@data
2.271186441,5.630200308,0.677966102,5.607087827,3.016949153,0.354391371,5.114021572,0.033898305,0.610169492,0.958397535,3.171032357,0.18027735,4.305084746,1.021571649,649,2229,3.434514638,succ
1.464228935,4.839427663,0.275039746,5.13036566,2.214626391,0.257551669,5.066772655,0.014308426,0.483306836,0.799682035,2.740858506,0.308426073,4.257551669,1.017488076,629,1822,2.896661367,succ
1.239460371,5.114671164,0.510961214,5.512647555,1.935919056,0.160202361,5.059021922,0.011804384,0.401349073,0.806070826,2.284991568,0.320404722,4.308600337,0.770657673,1186,4314,3.637436762,unsucc
1.611439842,5.814595661,0.623274162,6.143984221,3.34122288,0.185404339,5.66469428,0.025641026,0.556213018,1.201183432,2.648915187,0.309664694,4.901380671,1.134122288,1014,4078,4.021696252,unsucc
1.372119816,3.943548387,0.638248848,3.64516129,1.65437788,0.120967742,4.248847926,0.008064516,0.179723502,0.48156682,1.804147465,0.156682028,3.758064516,0.769585253,868,2446,2.81797235,succ
1.49368864,6.786816269,0.426367461,7.347826087,3.338008415,0.155680224,6.531556802,0.037868163,0.987377279,0.913043478,3.359046283,0.173913043,5.631136045,1.628330996,713,3281,4.601683029,succ
1.641975309,4.282716049,0.616049383,4.339506173,1.643209877,0.241975309,4.344444444,0.020987654,0.269135802,0.559259259,2.1,0.227160494,3.795061728,0.875308642,810,2499,3.085185185,succ
1.230075188,4.783458647,0.454135338,4.273684211,1.845112782,0.196992481,4.536842105,0.048120301,0.455639098,0.815037594,2.048120301,0.166917293,3.939849624,0.702255639,665,1998,3.004511278,succ
1.630434783,5.133540373,0.616459627,4.352484472,2.194099379,0.200310559,4.995341615,0.031055901,0.299689441,0.844720497,2.596273292,0.177018634,4.411490683,1.100931677,644,2016,3.130434783,succ
1.183098592,4.535211268,0.330985915,5.542253521,3.084507042,0.11971831,4.767605634,0.077464789,0.563380282,0.985915493,2.176056338,0.218309859,4.161971831,1.211267606,142,358,2.521126761,succ
1.26,2.905217391,0.420869565,3.24,1.386086957,0.126086957,3.427826087,0.011304348,0.253913043,0.537391304,1.573913043,0.140869565,2.910434783,0.50173913,2300,5130,2.230434783,unsucc
1.492273731,4.409492274,0.610375276,4.452538631,1.845474614,0.150110375,4.625827815,0.018763797,0.301324503,0.665562914,1.927152318,0.213024283,4.153421634,0.80794702,1812,5764,3.181015453,unsucc
1.318770227,3.733009709,0.577669903,3.160194175,1.666666667,0.110032362,3.627831715,0.014563107,0.22815534,0.422330097,1.673139159,0.116504854,3.239482201,0.598705502,1236,3192,2.582524272,unsucc
1.782771536,5.968164794,0.700374532,5.308988764,2.177902622,0.174157303,5.760299625,0.020599251,0.440074906,0.631086142,2.219101124,0.320224719,5.121722846,0.902621723,1068,4618,4.323970037,unsucc
0.828368794,4.10070922,0.402836879,4.590070922,1.89929078,0.238297872,4.243971631,0.018439716,0.334751773,0.94751773,1.914893617,0.134751773,3.79858156,0.797163121,705,2271,3.221276596,succ
1.488157895,5.568421053,0.338157895,5.073684211,2.457894737,0.355263158,4.736842105,0.025,0.493421053,0.738157895,2.710526316,0.284210526,3.963157895,0.980263158,1520,4894,3.219736842,unsucc
2.641645244,4.168123393,0.199485861,2.835989717,1.975835476,0.289974293,3.723907455,0.028791774,0.275578406,0.46940874,1.879691517,0.107455013,3.185604113,0.722365039,1945,4959,2.549614396,succ
1.439519852,4.635272392,0.210526316,4.376731302,2.041551247,0.119113573,4.728531856,0.029547553,0.400738689,0.672206833,2.150507849,0.210526316,4.139427516,0.917820868,2166,6798,3.138504155,unsucc
1.99895288,5.138219895,0.687958115,5.004188482,2.498429319,0.135078534,5.294240838,0.035602094,0.404188482,0.742408377,2.662827225,0.240837696,4.566492147,1.094240838,955,3240,3.392670157,succ
1.369807497,4.448834853,0.207700101,4.084093212,1.975683891,0.094224924,4.146909828,0.005065856,0.354609929,0.63627153,2.232016211,0.174265451,3.575481256,0.783181358,987,2753,2.789260385,succ
1.522727273,4.686602871,0.36722488,4.362440191,2.708133971,0.194976077,4.36722488,0.015550239,0.446172249,0.678229665,2.361244019,0.177033493,3.626794258,0.917464115,836,2349,2.809808612,succ
1.217750258,3.812177503,0.353973168,3.754901961,1.869453044,0.144478844,3.552115583,0.029411765,0.309597523,0.622807018,1.921568627,0.135706914,3.084107327,0.770897833,3876,9348,2.411764706,unsucc
1.193288591,4.267114094,0.263087248,4.026845638,1.506040268,0.11409396,4.130201342,0.032214765,0.365100671,0.577181208,2.147651007,0.218791946,3.612080537,0.706040268,1490,4336,2.910067114,unsucc
1.396341463,5.597560976,0.43495935,5.630081301,2.87398374,0.215447154,5.367886179,0.010162602,0.453252033,0.75203252,2.530487805,0.256097561,4.506097561,1.162601626,984,3788,3.849593496,unsucc
1.336817654,4.224157956,0.361207898,4.238095238,2.346109175,0.134727062,3.919860627,0.053426249,0.365853659,0.740998839,2.257839721,0.149825784,3.3728223,0.869918699,861,2288,2.657375145,succ
1.40483871,3.841935484,0.262903226,3.215322581,1.94516129,0.168548387,2.930645161,0.044354839,0.293548387,0.574193548,1.953225806,0.164516129,2.559677419,0.685483871,2480,4732,1.908064516,unsucc
1.576971214,4.101376721,0.675844806,4.251564456,1.898623279,0.133917397,3.450563204,0.003754693,0.284105131,0.708385482,2.101376721,0.192740926,2.846057572,0.729662078,799,1898,2.375469337,succ
1.640113798,4.832147937,0.695590327,5.237553343,2.610241821,0.153627312,4.964438122,0.022759602,0.458036984,0.699857752,2.256045519,0.224751067,4.348506401,0.817923186,703,2294,3.263157895,succ
1.718997361,5.098944591,0.323218997,3.552770449,1.692612137,0.139841689,4.447229551,0.022427441,0.240105541,0.58707124,2.332453826,0.192612137,3.98944591,1.001319261,1516,4684,3.089709763,unsucc
1.929769392,4.897274633,0.56918239,5.407756813,2.51572327,0.215932914,4.336477987,0.003144654,0.44129979,0.880503145,2.400419287,0.200209644,3.550314465,0.937106918,954,2633,2.759958071,succ
1.865612648,5.565217391,0.822134387,6.272727273,3.059288538,0.239130435,4.703557312,0.027667984,0.62055336,0.865612648,3.04743083,0.160079051,3.778656126,1.035573123,506,1446,2.85770751,succ
1.20537428,4.980806142,0.785028791,5.412667946,2.134357006,0.218809981,4.165067179,0.015355086,0.560460653,0.671785029,2.468330134,0.178502879,3.481765835,0.737044146,521,1503,2.884836852,succ
