@relation pima_diabetes
@attribute 'daici' numeric
@attribute 'dongci' numeric
@attribute 'renming' numeric
@attribute 'mingci' numeric
@attribute 'zhuci' numeric
@attribute 'shijianmingci' numeric
@attribute 'jieci' numeric
@attribute 'gantanci' numeric
@attribute 'fangweimingci' numeric
@attribute 'shuci' numeric
@attribute 'fuci' numeric
@attribute 'xiyu' numeric
@attribute 'biaodian' numeric
@attribute 'xingrongci' numeric
@attribute 'juzishu' numeric
@attribute 'juziposuidu' numeric
@attribute 'class' { unsucc, succ}
@data
0.85,2.805555556,0.305555556,2.702222222,1.5,0.136666667,3.027777778,0.063333333,0.268888889,0.428888889,1.397777778,0.112222222,2.712222222,0.544444444,1800,2.091111111,unsucc
1.577951002,4.357461024,0.84298441,3.797327394,1.819599109,0.131403118,4.214922049,0.016703786,0.203786192,0.516703786,2.093541203,0.122494432,3.760579065,0.757238307,1796,2.869710468,unsucc
1.171492205,3.722717149,0.424276169,3.189309577,1.293986637,0.136971047,3.56013363,0.017817372,0.195991091,0.63363029,1.756124722,0.158129176,3.179287305,0.699331849,1796,2.494432071,unsucc
1.189189189,4.664414414,0.684684685,4.872747748,1.981981982,0.158783784,4.609234234,0.028153153,0.385135135,0.820945946,1.82545045,0.211711712,3.953828829,0.822072072,1776,3.255630631,unsucc
1.989830508,5.311864407,0.307344633,6.037288136,1.602259887,0.184180791,6.322033898,0.006779661,0.483615819,1.371751412,2.13220339,0.138983051,5.680225989,0.775141243,1770,3.44180791,unsucc
0.982896237,3.070695553,0.221208666,2.814139111,1.51995439,0.15963512,3.188141391,0.020524515,0.216647662,0.444697834,1.643101482,0.122006842,2.825541619,0.638540479,1754,2.261117446,unsucc
1.0456621,3.342465753,0.178082192,3.488584475,1.399543379,0.101598174,3.690639269,0.01826484,0.323059361,0.452054795,1.305936073,0.126712329,3.128995434,0.582191781,1752,2.262557078,unsucc
1.187643021,3.991990847,0.321510297,4.127002288,1.68993135,0.139588101,4.101830664,0.010297483,0.369565217,0.739130435,1.850114416,0.188787185,3.544622426,0.813501144,1748,2.813501144,unsucc
1.592422503,4.719862227,0.874856487,4.862227325,2.421354765,0.227324914,4.150401837,0.024110218,0.376578645,0.652123995,2.409873708,0.167623421,3.479908152,0.672789897,1742,2.615384615,unsucc
2.249134948,5.44982699,0.455594002,4.520184544,1.928489043,0.181084198,4.673587082,0.00922722,0.310265283,0.741637832,2.521337947,0.177623991,4.051903114,0.748558247,1734,3.039215686,unsucc
1.194925029,3.978085352,0.311418685,3.408304498,1.553633218,0.108419839,4.211072664,0.020761246,0.223760092,0.682814302,1.792387543,0.211072664,3.780853518,0.742791234,1734,2.830449827,unsucc
1.480924855,4.295953757,0.470520231,3.608092486,2.105202312,0.14566474,4.167630058,0.024277457,0.360693642,0.492485549,1.823121387,0.225433526,3.61849711,0.734104046,1730,2.761849711,unsucc
1.143518519,4.118055556,0.517361111,4.179398148,1.53587963,0.125,4.248842593,0.030092593,0.413194444,0.695601852,1.862268519,0.149305556,3.789351852,0.630787037,1728,2.967592593,unsucc
1.135514019,4.778037383,0.587616822,4.654205607,1.675233645,0.191588785,4.617990654,0.007009346,0.39135514,0.731308411,2.353971963,0.24182243,4.037383178,0.76635514,1712,3.39135514,unsucc
1.112543962,4.243845252,0.504103165,4.070339977,1.934349355,0.173505275,4.146541618,0.009378664,0.461899179,0.651817116,1.949589683,0.180539273,3.575615475,0.783118406,1706,2.424384525,unsucc
0.915492958,4.166666667,0.172535211,3.387323944,1.894366197,0.154929577,3.776995305,0.049295775,0.281690141,0.508215962,2.181924883,0.156103286,3.268779343,0.718309859,1704,2.5657277,unsucc
0.997610514,3.197132616,0.144563919,3.045400239,1.365591398,0.143369176,3.531660693,0.017921147,0.264038232,0.548387097,1.538829152,0.138590203,3.111111111,0.622461171,1674,2.340501792,unsucc
1.183894231,3.788461538,0.338942308,3.959134615,1.728365385,0.15625,3.581730769,0.010817308,0.34375,0.699519231,1.810096154,0.145432692,3.114182692,0.665865385,1664,2.600961538,unsucc
1.121540313,3.274368231,0.507821901,2.943441637,1.460890493,0.125150421,3.436823105,0.02166065,0.23345367,0.451263538,1.70156438,0.217809868,3.051744886,0.774969916,1662,2.304452467,unsucc
1.440289505,5.177322075,0.745476478,4.500603136,2.335343788,0.153196622,4.835946924,0.010856454,0.457177322,0.670687575,2.231604343,0.234016888,4.260554885,0.693606755,1658,3.287092883,unsucc
1.083636364,3.940606061,0.425454545,3.998787879,1.64,0.117575758,4.106666667,0.035151515,0.290909091,0.932121212,1.96969697,0.241212121,3.692121212,0.854545455,1650,2.895757576,unsucc
2.129854369,5.901699029,0.375,4.209951456,2.684466019,0.19538835,3.884708738,0.023058252,0.472087379,0.601941748,2.251213592,0.127427184,3.247572816,0.837378641,1648,2.175970874,unsucc
1.247873633,3.718104496,0.543134872,3.345078979,2.108140948,0.150668287,3.268529769,0.021871203,0.27582017,0.492102066,1.919805589,0.155528554,2.788578372,0.795868773,1646,2.166464156,unsucc
1.315917375,4.851761847,0.365735115,4.483596598,2.217496962,0.201701094,4.021871203,0.032806804,0.365735115,0.742405832,2.244228433,0.223572296,3.417982989,1.083839611,1646,2.664641555,unsucc
2.228606357,4.831295844,0.575794621,4.019559902,2.267726161,0.209046455,4.171149144,0.004889976,0.387530562,0.542787286,2.339853301,0.180929095,3.441320293,0.915647922,1636,2.738386308,unsucc
1.651105651,5.396805897,0.445945946,4.277641278,2.038083538,0.218673219,4.697788698,0.029484029,0.406633907,0.708845209,2.727272727,0.141277641,3.998771499,1.470515971,1628,3.368550369,unsucc
1.766297663,4.632226322,0.243542435,3.49200492,2.228782288,0.188191882,3.896678967,0.022140221,0.232472325,0.537515375,2.414514145,0.172201722,3.426814268,0.82902829,1626,2.822878229,unsucc
2.226205192,5.159456119,0.305315204,4.207663782,2.81829419,0.142150803,4.683559951,0.030902349,0.42645241,0.552533993,2.684796044,0.194066749,4.097651422,0.961681088,1618,3.245982695,unsucc
1.113720643,3.815822002,0.741656366,3.676143387,1.667490729,0.206427689,3.710754017,0.022249691,0.35723115,0.394313968,1.939431397,0.121137206,3.377008653,0.600741656,1618,2.721878863,unsucc
1.335,4.30625,0.48125,3.59875,1.8825,0.1425,4.07375,0.035,0.36875,0.58625,2.01375,0.1975,3.64625,0.6475,1600,2.93125,unsucc
1.978562421,5.650693569,0.708701135,4.204287516,2.15889029,0.122320303,4.964691047,0.003783102,0.263556116,0.795712484,3.002522068,0.21815889,4.307692308,0.910466583,1586,3.547288777,unsucc
1.226751592,3.904458599,0.369426752,3.904458599,1.708280255,0.107006369,4.169426752,0.012738854,0.277707006,0.714649682,1.787261146,0.182165605,3.652229299,0.775796178,1570,2.922292994,unsucc
1.035943517,3.275994865,0.616174583,3.419768935,1.422336329,0.097560976,3.607188703,0.010269576,0.243902439,0.548138639,1.604621309,0.12195122,3.124518614,0.677792041,1558,2.541720154,unsucc
1.245186136,5.071887035,0.38254172,5.824133504,2.858793325,0.202824134,4.63029525,0.029525032,0.585365854,0.938382542,2.53915276,0.236200257,3.884467266,1.016688062,1558,3.534017972,unsucc
1.506476684,3.917098446,0.340673575,3.439119171,2.079015544,0.133419689,3.554404145,0.037564767,0.295336788,0.522020725,1.577720207,0.128238342,3.081606218,0.647668394,1544,2.329015544,unsucc
1.2230869,4.403372244,0.701686122,3.808041505,2.059662776,0.129701686,3.959792477,0.036316472,0.300907912,0.536964981,1.730220493,0.175097276,3.461738003,0.763942931,1542,2.675745785,unsucc
1.327272727,4.397402597,0.47012987,3.941558442,1.367532468,0.171428571,4.594805195,0.019480519,0.292207792,0.658441558,2.088311688,0.287012987,4.072727273,0.796103896,1540,3.528571429,unsucc
1.451315789,4.488157895,0.277631579,4.782894737,1.872368421,0.172368421,4.556578947,0.011842105,0.517105263,0.844736842,2.055263158,0.111842105,3.897368421,0.593421053,1520,3.005263158,unsucc
1.436100132,3.233201581,0.354413702,2.544137022,1.140974967,0.130434783,3.52173913,0.027667984,0.160737813,0.662714097,1.590250329,0.151515152,3.183135705,0.674571805,1518,2.492753623,unsucc
3.080901857,5.811671088,0.273209549,4.677718833,2.811671088,0.177718833,5.586206897,0.091511936,0.448275862,0.74403183,2.842175066,0.202917772,4.763925729,1.183023873,1508,3.5066313,unsucc
1.627005348,3.819518717,0.348930481,3.596256684,1.874331551,0.121657754,3.721925134,0.012032086,0.284759358,0.71657754,1.852941176,0.157754011,3.252673797,0.669786096,1496,2.439839572,unsucc
1.272237197,3.685983827,0.431266846,3.064690027,1.633423181,0.083557951,4.188679245,0.079514825,0.164420485,0.553908356,1.607816712,0.17115903,3.876010782,0.591644205,1484,2.955525606,unsucc
1.564864865,4.327027027,0.506756757,3.77972973,1.794594595,0.167567568,4.277027027,0.02027027,0.304054054,0.585135135,2.032432432,0.171621622,3.789189189,0.797297297,1480,3.063513514,unsucc
1.541891892,3.937837838,0.275675676,3.781081081,1.982432432,0.159459459,4.528378378,0.058108108,0.294594595,0.648648649,1.77027027,0.2,4.055405405,0.645945946,1480,2.658108108,unsucc
1.667117727,4.742895805,0.434370771,4.132611637,2.069012179,0.156968877,5.320703654,0.0202977,0.262516915,0.615696888,2.246278755,0.165087957,4.749661705,0.775372124,1478,3.128552097,unsucc
1.331529093,4.738836265,0.391069012,4.445196211,2.073071719,0.161028417,4.033829499,0.0135318,0.304465494,0.878213802,2.307171854,0.178619756,3.466847091,0.801082544,1478,2.619756428,unsucc
3.20596206,6.182926829,0.119241192,4.437669377,3.256097561,0.170731707,5.989159892,0.048780488,0.380758808,1.116531165,2.811653117,0.165311653,5.280487805,1.151761518,1476,4.368563686,unsucc
2.816689466,6.668946648,0.461012312,5.298221614,3.251709986,0.268125855,5.686730506,0.025991792,0.533515732,0.88372093,3.689466484,0.291381669,4.711354309,1.259917921,1462,4.01504788,unsucc
1.548563611,3.655266758,0.300957592,2.830369357,1.688098495,0.121751026,3.890560876,0.030095759,0.203830369,0.458276334,1.745554036,0.128590971,3.443228454,0.735978112,1462,2.396716826,unsucc
1.994520548,5.863013699,0.065753425,5.660273973,2.687671233,0.168493151,4.77260274,0.008219178,0.776712329,1.053424658,3.189041096,0.120547945,3.846575342,0.971232877,1460,3.456164384,unsucc
1.150760719,3.273858921,0.300138313,3.168741355,1.573997234,0.078838174,3.954356846,0.045643154,0.312586445,0.629322268,1.518672199,0.14384509,3.590594744,0.814661134,1446,2.659751037,unsucc
1.872044506,4.525730181,0.440890125,3.390820584,2.057023644,0.175243394,4.351877608,0.016689847,0.312934631,0.556328234,2.140472879,0.182197497,3.724617524,0.783031989,1438,2.876216968,unsucc
1.618384401,5.408077994,0.618384401,5.199164345,2.323119777,0.175487465,4.963788301,0.004178273,0.569637883,0.881615599,2.809192201,0.291086351,4.01810585,0.93454039,1436,3.52367688,unsucc
1.472067039,4.937150838,0.420391061,4.680167598,2,0.124301676,4.754189944,0.005586592,0.372905028,0.920391061,2.159217877,0.308659218,4.259776536,1.002793296,1432,3.431564246,unsucc
1.223628692,3.665260197,0.319268636,3.416315049,1.863572433,0.157524613,3.715893108,0.018284107,0.302390999,0.621659634,1.849507736,0.160337553,3.199718706,0.741209564,1422,2.614627286,unsucc
1.588983051,4.131355932,0.197740113,4.004237288,2.070621469,0.216101695,4.306497175,0.011299435,0.351694915,0.524011299,1.944915254,0.127118644,3.735875706,0.854519774,1416,2.891242938,unsucc
1.594059406,5.459688826,0.244695898,5.233380481,1.912305516,0.213578501,5.56718529,0.022630835,0.41301273,0.82602546,2.939179632,0.244695898,4.783592645,1.056577086,1414,4.082036775,unsucc
1.513475177,4.676595745,0.758865248,5.089361702,2.381560284,0.367375887,4.137588652,0.002836879,0.435460993,0.626950355,2.140425532,0.175886525,3.417021277,0.870921986,1410,2.99858156,unsucc
1.957325747,4.950213371,0.258890469,3.958748222,2.120910384,0.227596017,4.170697013,0.039829303,0.342816501,0.685633001,2.412517781,0.153627312,3.584637269,0.728307255,1406,2.374110953,unsucc
1.742165242,4.972934473,0.391737892,4.878917379,2.068376068,0.162393162,5.015669516,0.04985755,0.488603989,0.730769231,2.680911681,0.256410256,4.4002849,0.898860399,1404,3.723646724,unsucc
