小说名,标准化类符/形符比,类别
狂暴打赏系统,0.087107,unsucc
狂神进化,0.215793,succ
来自过去的猎人,0.093751,unsucc
来自主宰,0.12286,unsucc
赖活,0.170263,unsucc
篮球场上的马尾辫,0.08715,unsucc
懒神附体,0.205815,succ
烂片之王,0.214202,succ
老爸在我眼里是无敌的,0.203055,succ
老哥就是稳,0.115833,unsucc
老衲还年轻,0.263428,succ
老婆爱上我,0.253639,succ
类神,0.235762,succ
冷少无限度宠妻：超甜,0.128828,unsucc
离乱青春,0.102781,unsucc
利尖锋,0.102596,unsucc
砺剑繁华,0.260047,succ
炼金战士传说,0.340909,succ
恋战星梦,0.21989,succ
临时监护人,0.170217,succ
灵木瞳,0.179113,succ
灵启时代I,0.101246,unsucc
龙套传奇,0.227925,succ
龙王的女婿,0.20071,succ
龙翔杏林,0.194785,succ
龙穴,0.215243,succ
龙域,0.258388,succ
龙族的实习生们,0.124489,unsucc
楼澜似梦,0.107762,unsucc
楼主日记,0.116428,unsucc
鹿迪夫妇之热巴鹿晗,0.148379,unsucc
麻雀上青天,0.069726,unsucc
满足你的愿望,0.109527,unsucc
没事玩修炼,0.183228,succ
美国怪谈之道道道,0.196772,succ
美国英雄,0.226566,succ
美利坚仓储淘宝王,0.234983,succ
美利坚怪侠,0.253083,succ
美梦时代,0.115473,succ
美女经理的兵王保镖,0.114602,unsucc
美食旅行家,0.233457,succ
美食掌门人,0.253601,succ
萌之校内物语,0.114531,unsucc
猛虎教师,0.223602,succ
梦半花殒,0.094858,unsucc
梦城滴暖雨,0.102218,unsucc
梦幻兑换系统,0.153595,succ
梦回九七,0.291368,succ
梦里花落去,0.099134,unsucc
梦想成真,0.194436,succ
梦想为王,0.257601,succ
梦醒细无声,0.23672,succ
迷失在地球的外星综合舰,0.181072,succ
妙手天师,0.245707,succ
明星检察官,0.228614,succ
明星天王,0.228859,succ
明星小农民,0.16855,unsucc
命运记事本,0.215423,succ
命运临界点,0.078237,unsucc
摩登时代,0.222296,succ
魔法的悲鸣,0.097107,unsucc
魔神刻印,0.252237,succ
魔术大明星,0.186127,succ
魔王下仆之魔恋悲歌,0.099478,unsucc
末世之都市奇葩,0.11549,unsucc
木友学院,0.088417,unsucc
那些与高考无关的日子,0.105558,unsucc
奶爸的文艺人生,0.245335,succ
男神高小冷,0.210718,succ
南凌来吃药,0.111015,unsucc
脑洞大爆炸,0.181269,succ
你的微笑那么美,0.124454,unsucc
你知道吗我很想你,0.094205,unsucc
逆风飞鸿,0.121866,unsucc
逆行我的1997,0.181184,succ
逆命,0.269155,succ
逆天魔术师,0.132739,unsucc
逆天小神农,0.098698,unsucc
逆袭指导手册,0.11108,unsucc
鸟爷的悠闲生活,0.268097,succ
宁的眼中的世界,0.088312,unsucc
牛笔,0.291298,succ
农夫戒指,0.12102,unsucc
农家仙犬,0.213897,succ
农家仙田,0.116492,succ
糯糯的小奶爸,0.097975,unsucc
女老板的贴身兵王,0.134293,unsucc
女主播爱上我,0.26031,succ
女总裁的极品男佣,0.115641,unsucc
女总裁的绝世高手,0.127278,unsucc
女总裁的修仙兵王,0.102743,unsucc
旁医左相,0.234133,succ
胖子的韩娱,0.198444,succ
喷神,0.221793,succ
翩翩女儿身,0.232866,succ
平凡人平凡事,0.098132,unsucc
平行人生,0.226805,succ
菩提老祖在都市,0.12345,unsucc
欺诈猎手,0.124847,unsucc
奇彩世界,0.086574,unsucc
奇门圣医,0.220879,succ
奇门之透视医圣,0.116788,unsucc
奇妙重生,0.198082,succ
奇商,0.215895,succ
奇异小农民,0.212862,succ
乞丐的成神之路,0.126332,unsucc
汽车黑科技,0.235251,succ
千金计,0.109312,unsucc
千万个我在助我,0.12618,unsucc
签约封神,0.23586,succ
钱途,0.216449,succ
窃听人生,0.215233,succ
亲密敌人,0.081127,unsucc
秦楚,0.210333,succ
青春，无谓的逃亡,0.126558,unsucc
青春盛开的那些花儿,0.102947,unsucc
青春岁月之路,0.103624,unsucc
青禹通玄录,0.127185,unsucc
全民偶像,0.27116,succ
全能戒指,0.301323,succ
全能神偷,0.247426,succ
全能数学家,0.20162,succ
全能武侠系统,0.203923,succ
全能仙医,0.213379,succ
全能闲人,0.257613,succ
全球第一村,0.267065,succ
全球天王系统,0.187078,succ
全宇宙都是我好友,0.215221,succ
全职抽奖系统,0.278441,succ
全职猎人大乱斗,0.122611,unsucc
全职业训练师,0.211545,succ
拳罡,0.244247,succ
热血燃烧大时代,0.249905,succ
人界第一仙,0.205637,succ
软饭天王,0.232246,succ
三分钟英雄,0.25318,succ
三国牛人附身记,0.235629,succ
三界超市,0.209938,succ
三界美食制造,0.122191,unsucc
三栖特种兵,0.249694,succ
三无神医,0.210267,succ
三眼法医,0.216068,succ
桑落年华,0.112584,unsucc
森林帝国,0.180091,succ
傻孩子日记,0.150404,unsucc
山沟书画家,0.220336,succ
山洼小富农,0.1984,succ
商道香尘,0.222851,succ
商海谍影,0.216528,succ
商踪谍影,0.253945,succ
上位,0.235065,succ
深海开发商,0.209212,succ
深海主宰,0.222067,succ
神豪的安逸生活,0.208152,succ
神豪卡,0.118975,unsucc
神皇成长记,0.123124,unsucc
神级茶人,0.227188,succ
神级大矿主,0.199314,succ
神级明星养成记,0.121647,unsucc
神级模仿大天王,0.228044,succ
神级情绪系统,0.211161,succ
神级小卖部,0.184093,succ
神级幸运星,0.217465,succ
神级演技派,0.243558,succ
神级叶良辰,0.227252,succ
神级阅读系统,0.246675,succ
神级造物主,0.194733,succ
神级整形师,0.219483,succ
神魔万事屋,0.102715,unsucc
神人沈度,0.19507,succ
神偷化身,0.220617,succ
神医翼皇,0.097365,unsucc
神针记,0.2414,succ
升迁之路,0.181165,succ
生命的延续,0.051671,unsucc
生物炼金手记,0.255568,succ
生肖守护神,0.215205,succ
生于1984,0.225101,succ
圣手之尊,0.204236,succ
盛世官商,0.259123,succ
盛世收藏,0.236,succ
盛世娱乐,0.195124,succ
石头牧场,0.177504,succ
时代巨擘,0.2432,succ
时代巨子,0.246356,succ
时光旅行者,0.220448,succ
实业帝国,0.237467,succ
食神直播间,0.273971,succ
食物链顶端的男人,0.220834,succ
史上第一混搭,0.219128,succ
史上第一混乱,0.23471,succ
史上最牛道长,0.242743,succ
史上最强导演,0.197853,succ
世界那么大,0.260807,succ
势利眼,0.212311,succ
首富巨星,0.214619,succ
首席御医,0.209612,succ
狩魔人生,0.214697,succ
书眼,0.214771,succ
数据散修,0.22255,succ
刷金大土豪,0.096441,unsucc
死神推销员,0.224298,succ
饲主,0.237905,succ
肆虐韩娱,0.225042,succ
俗人重生记,0.196013,succ
算卦我靠玩微信,0.279891,succ
随身带着个宇宙,0.201671,succ
随身带着女神皇,0.219655,succ
随身带着未来空间,0.233435,succ
随身带着原始部落,0.177878,succ
随身山河图,0.251144,succ
随身种田,0.26602,succ
随身装着一口泉,0.260802,succ
他从末世来,0.221925,succ
太受欢迎了怎么办,0.263318,succ
唐人街侦探,0.095461,unsucc
桃源山庄,0.226271,succ
淘宝人生,0.189657,succ
特工全球,0.2305,succ
替身之王,0.218143,succ
天才科学家,0.234668,succ
天才名医,0.203639,succ
天才相师,0.206767,succ
天才主播,0.210153,succ
天娇谱,0.25065,succ
天界传奇,0.233221,succ
天界手机,0.217604,succ
天九王,0.225224,succ
天门,0.252021,succ
天驱,0.226652,succ
天生废材,0.186678,succ
天生科技狂,0.22154,succ
天生娱乐家,0.26361,succ
天书科技,0.204572,succ
天庭清洁工,0.227456,succ
天庭阅读器,0.213278,succ
天王,0.194114,succ
天王系统,0.128266,unsucc
天文望远镜与钢琴,0.084591,unsucc
天之殿堂,0.258658,succ
天纵商才,0.238613,succ
田园牧场,0.181929,succ
调戏文娱,0.198504,succ
贴身高手,0.218773,succ
贴身经理人,0.229487,succ
铁路大时代,0.231142,succ
庭主大人,0.139015,unsucc
同萌会的一己之见,0.234274,succ
同桌的你,0.109665,unsucc
偷盗万界,0.192175,succ
土豪系统,0.194855,succ
退伍小女警,0.130244,unsucc
陀枪堂主,0.270481,succ
纨绔才子,0.277374,succ
纨绔毒医,0.188799,succ
纨绔疯子,0.210058,succ
完美大明星,0.228828,succ
完美人生,0.186518,succ
完美星光,0.309909,succ
完善之最强纨绔,0.110503,unsucc
玩宝,0.233009,succ
玩物人生,0.210815,succ
玩转皇家学院：我的冰山男友,0.120928,unsucc
万界淘宝商,0.20963,succ
万能修理铺,0.228709,succ
王大锤的大电影,0.199078,succ
王牌,0.219775,succ
王牌导演,0.218426,succ
王者换装直播系统,0.134228,unsucc
危险角色,0.204321,succ
危险性学生,0.231411,succ
伪道,0.228309,succ
未来军火专家,0.224293,succ
未来漂流瓶,0.209386,succ
未来特警,0.255623,succ
位面监狱执掌者,0.221066,succ
位面论坛,0.237537,succ
文壕,0.220956,succ
文体巨星,0.262251,succ
文玩天下,0.276847,succ
文艺大明星,0.268295,succ
文艺圈枭雄,0.266492,succ
文艺人生,0.207567,succ
文艺生活,0.182945,succ
文艺时代,0.210443,succ
文艺王冠,0.222953,succ
文娱大佬的自我养成,0.213422,succ
文娱大时代,0.233046,succ
文娱教父,0.268493,succ
文娱救世主,0.242565,succ
文贼,0.201518,succ
窝在山村,0.1721,succ
我本飞扬,0.170298,succ
我不当明星,0.219033,succ
我的超能力列表,0.175501,succ
我的搭档是财神,0.232475,succ
我的大小魔女,0.078569,succ
我的肚子里有棵树,0.226983,succ
我的镀金时代,0.214321,succ
我的二大爷,0.086057,unsucc
我的二代女团,0.231064,succ
我的房间有个星际战场,0.179679,succ
我的韩国前女友们,0.220859,succ
我的韩国野蛮老婆,0.192537,succ
我的机械章鱼,0.208011,succ
我的姐姐是大明星,0.25425,succ
我的老婆是重生的,0.254953,succ
我的邻家美女老师,0.107334,unsucc
我的美女情劫,0.210889,succ
我的妹妹洛天依,0.23727,succ
我的农场能提现,0.242499,succ
我的女友是仙子,0.220005,succ
我的漂亮神仙女友,0.114112,unsucc
我的神灵分身,0.185402,succ
我的手机连接游戏仓库,0.255643,succ
我的纨绔法身,0.201787,succ
我的完美之路,0.119201,unsucc
我的微信好友在异界,0.090705,unsucc
我的养成神灵,0.123455,unsucc
我的野蛮九尾女友,0.108386,unsucc
我的异能魔法,0.193523,succ
我的影子是食神,0.263098,succ
我的至尊异能,0.220816,succ
我的庄园,0.206527,succ
我和僵尸还有约会,0.144718,unsucc
我家的魔王大人,0.104622,unsucc
我家果园成了异界垃圾场,0.235457,succ
我家后院是异界,0.20565,succ
我家客人你惹不起,0.22602,succ
我家萝莉是大明星,0.222338,succ
我家农场是天庭种植基地,0.209514,succ
我家有只九尾狐,0.137961,unsucc
我叫术士,0.230101,succ
我就是太平洋,0.241702,succ
我就是妖怪,0.194598,succ
我可能遇见了一个假系统,0.099573,unsucc
我可以变成鱼,0.207685,succ
我们几个,0.110683,unsucc
我们两个不说再见,0.126079,unsucc
我们是巨星,0.131074,unsucc
我是保护伞大BOSS,0.25704,succ
我是大科学家,0.230743,succ
我是大土豪,0.214256,succ
我是大玩家,0.198592,succ
我是琉璃百花系统,0.114771,unsucc
我是全民女神,0.208458,succ
我是天庭清洁工,0.118724,unsucc
我是天庭扫把星,0.210665,succ
我是卫征我怕谁,0.110091,unsucc
我体内有本山海经,0.233408,succ
我为宅狂,0.213567,succ
我未走远,0.106953,unsucc
我要当院长,0.18729,succ
我要做大明星,0.282778,succ
我也重生,0.194505,succ
我在商朝有块地,0.231478,succ
我真不算明星,0.250157,succ
我真的是演员,0.176377,succ
我真是大德鲁伊,0.231362,succ
我真是大赢家,0.273076,succ
我知道的太多了,0.254965,succ
巫师论坛,0.214918,succ
无耻家族,0.224908,succ
无敌储物戒,0.17018,succ
无敌教师,0.25592,succ
无敌近身高手,0.118797,unsucc
无敌强化系统,0.186984,succ
无敌圣手,0.107267,unsucc
无敌小保安,0.106104,unsucc
无量钱途,0.266717,succ
无商变有商,0.105027,unsucc
无限福利神豪,0.222946,succ
无限归来之超级警察,0.216282,succ
武道速成系统,0.128288,unsucc
武功天王,0.11113,unsucc
武林系统,0.095608,unsucc
武侠开端,0.277914,succ
武侠世界抽奖系统,0.216653,succ
武侠之父,0.247672,succ
西游地图,0.267788,succ
吸烟的女人,0.134213,unsucc
嬉皮笑脸,0.229998,succ
系统之吞灵科技,0.112498,unsucc
系统之校长来了,0.197622,succ
侠盗神偷,0.106261,unsucc
夏花殇之爱如朝露,0.155279,unsucc
仙壶农庄,0.221551,succ
仙界归来,0.205592,succ
仙界网络直播间,0.231021,succ
仙警,0.211409,succ
仙医妙手,0.228209,succ
仙源农场,0.233289,succ
现代鬼途,0.116229,unsucc
现代猎人传奇,0.274771,succ
乡村首富,0.206309,succ
乡村无敌药圣,0.112598,unsucc
相声大师,0.246541,succ
香港小亨,0.223298,succ
香港之梦,0.230332,succ
香江豪门,0.21677,succ
香色倾城,0.227333,succ
想走的路,0.085624,unsucc
向前走走多久,0.091921,unsucc
向着娱乐圈开炮,0.221611,succ
逍遥岛主,0.212105,succ
逍遥军医,0.223488,succ
逍遥小仙医,0.104339,unsucc
逍遥小镇长,0.246207,succ
逍遥渔夫,0.188054,succ
小保安的极品人生,0.099741,unsucc
小城市里的老故事,0.116723,unsucc
小亨传说,0.202121,succ
小世界生活录,0.128675,unsucc
校花攻略,0.22179,succ
校花总裁的近身兵王,0.152538,unsucc
校园爱情录,0.240873,succ
邪恶的催眠师,0.269758,succ
邪恶魔法高校,0.191122,succ
邪意未来,0.195658,succ
械医,0.186368,succ
新功夫之王,0.239233,succ
新流涌现,0.10325,unsucc
新世纪的德鲁伊,0.217094,succ
星光灿烂,0.246263,succ
星际武神,0.207829,succ
星照不宣,0.209037,succ
熊猫哥哥和功夫美少女,0.235184,succ
修仙狂少在都市,0.149546,unsucc
修真的酋长,0.184627,succ
修真归来在都市,0.239682,succ
修真老师生活录,0.210084,succ
修真渔民,0.264576,succ
修真者的田园生活,0.212233,succ
玄帝归来,0.277391,succ
玄门医圣,0.213588,succ
学霸的科技帝国,0.242509,succ
学霸终结者,0.228053,succ
血定乾坤,0.094831,unsucc
寻宝美利坚,0.194327,succ
寻梦舞曲,0.100809,unsucc
丫头的超能爱恋,0.103098,unsucc
仰望未来,0.116432,unsucc
妖怪管理员,0.239107,succ
妖孽小乡民,0.124607,unsucc
野性之心,0.202335,succ
野医,0.189119,succ
夜来香连环杀人案,0.094229,unsucc
一个电影人的诞生,0.259942,succ
一锅鲲鹏炖不下,0.2706,succ
一级安保,0.278483,succ
一路拔剑,0.281539,succ
一品狂徒,0.089922,unsucc
医道无间,0.216377,succ
