@relation pima_diabetes
@attribute '规则1' numeric
@attribute '规则2' numeric
@attribute '规则3' numeric
@attribute '规则4' numeric
@attribute '规则5' numeric
@attribute '规则6' numeric
@attribute '规则7' numeric
@attribute '规则8' numeric
@attribute '规则9' numeric
@attribute '规则10' numeric
@attribute '规则11' numeric
@attribute '规则12' numeric
@attribute '规则13' numeric
@attribute '规则14' numeric
@attribute '规则15' numeric
@attribute '规则16' numeric
@attribute '规则17' numeric
@attribute '规则18' numeric
@attribute 'class' { unsucc, succ}
@data
0.049607,0.046605,0.044746,0.03045,0.043317,0.028306,0.019299,0.02559,0.021301,0.020872,0.013295,0.029307,0.019728,0.01787,0.019014,0.012009,0.007291,0.013295,succ
0.051351,0.04223,0.035248,0.039414,0.041441,0.030743,0.025113,0.027815,0.017905,0.021171,0.018468,0.022523,0.019032,0.018018,0.023198,0.014189,0.005631,0.01509,succ
0.061469,0.061172,0.058603,0.031426,0.028758,0.04032,0.025398,0.018579,0.015219,0.019567,0.021642,0.021445,0.022927,0.015219,0.01176,0.016207,0.007708,0.016998,unsucc
0.062419,0.043765,0.043048,0.026116,0.034582,0.01808,0.026259,0.030994,0.027981,0.028125,0.016502,0.015067,0.01191,0.018367,0.016932,0.010188,0.004305,0.013775,succ
0.063864,0.056483,0.055359,0.035141,0.03835,0.031932,0.025513,0.019416,0.018614,0.022465,0.016688,0.02423,0.017169,0.011232,0.013318,0.01396,0.00706,0.015244,succ
0.046544,0.056656,0.046821,0.030198,0.031306,0.034354,0.023687,0.018978,0.015515,0.019116,0.018562,0.022025,0.022856,0.014822,0.014961,0.009697,0.006372,0.011636,succ
0.054591,0.042583,0.043491,0.035721,0.031887,0.024319,0.028153,0.032392,0.030272,0.021191,0.017558,0.01998,0.019879,0.018466,0.01776,0.00777,0.005045,0.00888,succ
0.045657,0.050596,0.044814,0.030358,0.028912,0.029033,0.025419,0.024937,0.022286,0.020359,0.020479,0.019154,0.020118,0.014938,0.014336,0.015179,0.004698,0.013974,unsucc
0.056691,0.056135,0.057331,0.028874,0.026955,0.032852,0.026927,0.023951,0.02128,0.01911,0.027177,0.01822,0.024006,0.014854,0.013742,0.012128,0.00523,0.01427,unsucc
0.050966,0.039474,0.038974,0.033311,0.028148,0.017821,0.02998,0.027981,0.02032,0.020986,0.015823,0.016656,0.018155,0.019654,0.015823,0.009827,0.002665,0.012159,succ
0.063152,0.059531,0.054099,0.031721,0.032879,0.042584,0.024913,0.024334,0.024913,0.021292,0.018395,0.021147,0.02274,0.010863,0.012167,0.012819,0.006952,0.016512,unsucc
0.051748,0.05035,0.044056,0.036923,0.034126,0.02951,0.026853,0.01986,0.014965,0.02042,0.021259,0.021958,0.021259,0.015524,0.016084,0.011049,0.004615,0.017343,succ
0.057188,0.050859,0.049503,0.036166,0.039783,0.030063,0.026221,0.025542,0.023734,0.024638,0.020344,0.024186,0.020118,0.014693,0.016049,0.008816,0.005425,0.010398,succ
0.059803,0.048748,0.046351,0.033031,0.040091,0.025839,0.025306,0.028503,0.022776,0.025306,0.018647,0.025173,0.020645,0.016915,0.016915,0.00666,0.002397,0.011987,succ
0.057085,0.039501,0.04893,0.027778,0.035168,0.023828,0.025229,0.025229,0.018731,0.020642,0.019623,0.017584,0.021152,0.012742,0.013761,0.01185,0.023955,0.015545,succ
0.062824,0.047786,0.046784,0.030409,0.037427,0.029741,0.023726,0.032916,0.029741,0.019883,0.018713,0.020217,0.019048,0.015372,0.019549,0.010359,0.004344,0.015372,succ
0.048967,0.050258,0.046087,0.036949,0.031387,0.033174,0.027215,0.028407,0.028903,0.020858,0.018673,0.021653,0.021653,0.014303,0.019666,0.009138,0.005959,0.013508,unsucc
0.06042,0.049164,0.048336,0.02781,0.029631,0.03079,0.024168,0.019533,0.019368,0.019533,0.014236,0.018871,0.015229,0.011919,0.011753,0.013077,0.006952,0.013739,unsucc
0.049699,0.049383,0.046217,0.029123,0.032764,0.031814,0.026116,0.021842,0.017727,0.02026,0.020576,0.022317,0.018835,0.01931,0.017094,0.010763,0.006648,0.010605,succ
0.053623,0.050484,0.04896,0.035509,0.031026,0.033178,0.028246,0.022059,0.018113,0.020086,0.023135,0.023314,0.023673,0.015782,0.01901,0.010222,0.00556,0.012374,unsucc
0.062176,0.054894,0.048032,0.032769,0.032769,0.034869,0.027587,0.027867,0.025347,0.021566,0.017645,0.021145,0.018905,0.016944,0.018905,0.008682,0.003641,0.010923,succ
0.056199,0.047995,0.046845,0.034731,0.048455,0.026068,0.024688,0.037108,0.027218,0.028598,0.017251,0.027908,0.018861,0.020394,0.020241,0.011884,0.00575,0.014261,unsucc
0.05592,0.043352,0.038434,0.035519,0.032058,0.01949,0.02878,0.026047,0.025137,0.021494,0.016029,0.019308,0.018579,0.019672,0.017668,0.009654,0.004736,0.015483,succ
0.053632,0.053632,0.047069,0.027382,0.033039,0.050464,0.020819,0.020367,0.019461,0.02263,0.017877,0.021045,0.016293,0.015162,0.018104,0.01652,0.011767,0.017425,succ
0.000184,0.000184,0.000184,0.000184,0.000184,0.023128,0.000184,0.000184,0.000184,0.000184,0.016336,0.017254,0.016336,0.01909,0.01964,0.011013,0.003304,0.000184,succ
0.056762,0.047737,0.04643,0.033482,0.02995,0.026419,0.031389,0.032958,0.026681,0.02001,0.019487,0.019095,0.019618,0.020272,0.020272,0.011378,0.004316,0.01491,succ
0.051013,0.054709,0.049978,0.029129,0.03253,0.031791,0.02425,0.022032,0.018927,0.020701,0.018631,0.021884,0.017004,0.014786,0.016709,0.015082,0.006358,0.014195,succ
0.062312,0.059303,0.059834,0.032218,0.028501,0.040184,0.029032,8.90E-05,8.90E-05,0.020712,0.023898,0.015578,0.022128,0.01487,0.014693,0.006019,0.003363,0.010798,unsucc
0.055373,0.047047,0.044918,0.030784,0.029042,0.030978,0.026718,0.025169,0.023233,0.021104,0.020136,0.021297,0.020329,0.015102,0.014908,0.011036,0.006583,0.012972,succ
0.054666,0.051399,0.051956,0.036417,0.030839,0.041438,0.028767,0.019922,0.022791,0.019523,0.022791,0.02048,0.021356,0.014025,0.01538,0.009483,0.006375,0.010997,unsucc
0.049182,0.041417,0.040711,0.031651,0.040593,0.020473,0.023532,0.030827,0.028121,0.024826,0.018237,0.021532,0.016473,0.021297,0.022709,0.009295,0.004471,0.013884,succ
0.067007,0.054165,0.050708,0.034656,0.032104,0.029141,0.030787,0.029305,0.022391,0.026013,0.018357,0.017287,0.017451,0.015476,0.013665,0.012183,0.006421,0.016958,unsucc
0.057203,0.000141,0.000141,0.028953,0.043429,0.000141,0.016866,0.026564,0.020098,0.026564,0.000141,0.000141,0.000141,0.01532,0.017709,0.000141,0.000141,0.012087,succ
0.044825,0.046165,0.043931,0.034103,0.000149,0.033805,0.025763,0.028742,0.02487,0.000149,0.019955,0.000149,0.020998,0.000149,0.000149,0.009829,0.009084,0.008786,succ
0.058569,0.044432,0.04775,0.032602,0.040537,0.024091,0.022937,0.018177,0.016157,0.025678,0.017455,0.026399,0.02034,0.02034,0.020629,0.008367,0.005338,0.010675,succ
0.055926,0.058524,0.052423,0.033781,0.032313,0.035476,0.027342,0.027906,0.026664,0.022031,0.020111,0.016608,0.01932,0.013897,0.016382,0.010959,0.007796,0.012089,unsucc
0.049963,0.039296,0.041168,0.03649,0.031811,0.019835,0.031999,0.029004,0.022268,0.021145,0.022455,0.015719,0.017403,0.015719,0.013847,0.009169,0.003368,0.010666,unsucc
0.053921,0.048394,0.04466,0.032114,0.03286,0.025691,0.027035,0.023002,0.018969,0.017326,0.0236,0.0236,0.022405,0.015385,0.017028,0.012397,0.005975,0.016729,succ
7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,0.016481,7.40E-05,7.40E-05,7.40E-05,7.40E-05,0.013066,0.017223,0.013215,0.016036,0.014551,0.007572,0.006533,7.40E-05,unsucc
0.055251,0.045832,0.046816,0.032476,0.033882,0.022072,0.020666,0.027274,0.025165,0.019682,0.017573,0.020526,0.016871,0.017011,0.018417,0.007873,0.005061,0.013778,succ
0.048791,0.000142,0.000142,0.037269,0.035135,0.000142,0.028592,0.026316,0.019915,0.023329,0.000142,0.000142,0.000142,0.022333,0.022617,0.000142,0.000142,0.009104,succ
0.069675,0.067009,0.063795,0.027145,0.030359,0.037128,0.024479,0.021675,0.020581,0.025641,0.014838,0.021607,0.014632,0.014838,0.012034,0.017162,0.007521,0.014017,unsucc
0.060441,0.051324,0.051765,0.034118,0.031912,0.025735,0.030735,0.000147,0.000147,0.0225,0.023235,0.02,0.019706,0.018235,0.017941,0.013088,0.005147,0.015588,succ
0.064437,0.050409,0.048405,0.03006,0.03561,0.036689,0.028056,0.026052,0.022198,0.023586,0.018499,0.023123,0.021582,0.01819,0.01634,0.007399,0.004008,0.011716,succ
0.048641,0.062427,0.059045,0.033554,0.029783,0.055014,0.027052,0.02406,0.018338,0.014176,0.02432,0.018988,0.02393,0.010144,0.019248,0.015086,0.009364,0.013656,succ
0.055058,0.047406,0.046286,0.034714,0.032475,0.028555,0.029862,0.028182,0.023143,0.021837,0.017544,0.022396,0.017171,0.015864,0.015864,0.010265,0.007279,0.011571,unsucc
