小说名,标准化类符/形符比,类别
使命召唤——战争世界,0.096046,unsucc
数码暴君,0.476744,succ
数码大世界,0.080668,unsucc
数码兽大冒险之起源,0.091185,unsucc
谁与争锋的各种结局,0.094597,unsucc
水国雾忍,0.197022,succ
死神之狂徒,0.234113,succ
死神之龙傲天,0.123963,unsucc
死神之无影刀,0.215085,succ
四代目的最强辅助,0.251573,succ
肆虐火影,0.216113,succ
速度与激情：死亡游戏,0.101999,unsucc
孙大圣闯梦幻,0.117078,unsucc
跳舞的墓碑,0.12643,unsucc
王者荣耀之士国无双群雄争霸,0.11918,unsucc
网游之无限玩家,0.32257,succ
威严的物语,0.138079,unsucc
为美好的异世献上科学,0.21728,succ
位面因果系统,0.205843,succ
味心传说,0.139659,unsucc
文化乱入异世界,0.095731,unsucc
文化征服异界,0.20458,succ
我才不会看到弹幕呢,0.229727,succ
我的崩坏世界,0.323157,succ
我的火影忍者,0.20148,succ
我的火影忍者果然有问题,0.205789,succ
我的舰娘,0.270805,succ
我的无限战舰,0.282365,succ
我的异世不可能这么萌,0.098059,unsucc
我的英灵是关羽,0.114913,unsucc
我可能救了个假世界,0.27186,succ
我期望的二次元生活,0.105062,unsucc
我入侵的诸天是假的,0.137838,unsucc
我是萝莉之魔法学院,0.114928,unsucc
我统领狐族那些年,0.23181,succ
我想做二次元的音乐大佬,0.103964,unsucc
我妖重新做人,0.244235,succ
我一定是个假主角,0.120467,unsucc
我与她的幻想之夜,0.110267,unsucc
我真是魔王,0.139881,unsucc
无敌神灵,0.225614,succ
无尽的恶欲之门,0.1192,unsucc
无穹战域,0.215462,succ
无限恐怖之局外者,0.543478,succ
无限之傲娇娘,0.075422,unsucc
无限之符文铠甲,0.134496,unsucc
无限之旅人,0.128021,unsucc
无限之我写的无限,0.219573,succ
无限之异兽进化,0.245198,succ
无限之直死,0.209791,succ
无限诸界,0.115331,unsucc
吾为镇魂将,0.105905,unsucc
系统一起走吧,0.131317,unsucc
