@relation pima_diabetes
@attribute 'daici' numeric
@attribute 'dongci' numeric
@attribute 'renming' numeric
@attribute 'mingci' numeric
@attribute 'zhuci' numeric
@attribute 'shijianmingci' numeric
@attribute 'jieci' numeric
@attribute 'gantanci' numeric
@attribute 'fangweimingci' numeric
@attribute 'shuci' numeric
@attribute 'fuci' numeric
@attribute 'xiyu' numeric
@attribute 'biaodian' numeric
@attribute 'xingrongci' numeric
@attribute 'juzishu' numeric
@attribute 'tingdunshu' numeric
@attribute 'juziposuidu' numeric
@attribute 'class' { unsucc, succ}
@data
1.534161491,4.954451346,0.238095238,4.722567288,2.345755694,0.238095238,4.3436853,0.020703934,0.407867495,0.677018634,2.726708075,0.163561077,3.612836439,0.942028986,966,2756,2.85300207,unsucc
1.546835443,4.351898734,0.589873418,3.884810127,2.010126582,0.118987342,4.716455696,0.044303797,0.302531646,0.550632911,1.932911392,0.156962025,4.234177215,0.646835443,790,2471,3.127848101,succ
2.51056338,6.582746479,0.188380282,7.526408451,4.241197183,0.278169014,5.110915493,0.049295775,0.873239437,1.200704225,3.933098592,0.290492958,4.237676056,1.23943662,568,2052,3.612676056,succ
2.11641791,4.782089552,0.514925373,3.710447761,1.913432836,0.147761194,4.002985075,0.040298507,0.291044776,0.553731343,1.865671642,0.114925373,3.480597015,0.655223881,1340,3566,2.66119403,unsucc
1.142517815,4.733966746,0.224465558,3.973871734,2.662707838,0.119952494,4.339667458,0.039192399,0.372921615,0.782660333,2.406175772,0.152019002,3.704275534,0.741092637,1684,4292,2.548693587,unsucc
1.453726454,4.710892711,0.250614251,3.763308763,2.312039312,0.153153153,4.067977068,0.031122031,0.256347256,0.563472563,2.667485667,0.141687142,3.464373464,0.707616708,2442,6226,2.54954955,unsucc
6,8,0,13,6.5,0,79,4.5,1,14.5,13.5,6,73.5,11,2,6,3,succ
1.256430868,3.270900322,0.311897106,3.621382637,1.601286174,0.062700965,3.489549839,0.008842444,0.397909968,0.625401929,1.40192926,0.123794212,2.807877814,0.488745981,2488,5632,2.263665595,unsucc
1.773607748,5.194915254,0.221549637,4.101694915,2.435835351,0.188861985,4.848668281,0.018159806,0.330508475,0.588377724,2.573849879,0.185230024,4.221549637,0.841404358,1652,5814,3.51937046,unsucc
1.86083499,5.580516899,0.332007952,5.93638171,2.719681909,0.216699801,4.996023857,0.02584493,0.667992048,1.077534791,2.968190855,0.208747515,4.129224652,0.809145129,1006,3418,3.397614314,unsucc
1.307692308,4.156410256,0.566666667,4.367948718,2.101282051,0.142307692,4.482051282,0.019230769,0.338461538,0.8,2.011538462,0.225641026,3.958974359,0.888461538,780,2344,3.005128205,succ
1.7175,4.15,0.65,3.1675,1.82,0.14,6.175,0.105,0.3325,0.45,1.6725,0.1525,5.5125,0.62,800,2688,3.36,unsucc
1.625336927,4.92722372,0.757412399,5.547169811,2.105121294,0.177897574,5.547169811,0.064690027,0.380053908,0.603773585,1.97574124,0.20754717,4.603773585,0.725067385,742,2074,2.795148248,unsucc
2.846918489,6.10139165,0.192842942,4.982107356,2.755467197,0.274353877,5.413518887,0.033797217,0.572564612,0.916500994,2.976143141,0.168986083,4.552683897,1.298210736,1006,3608,3.586481113,unsucc
1.282291667,3.677083333,0.610416667,3.169791667,1.497916667,0.121875,3.877083333,0.016666667,0.280208333,0.516666667,1.688541667,0.122916667,3.247916667,0.589583333,1920,4574,2.382291667,unsucc
1.096153846,4.758012821,0.53525641,4.927884615,2.479166667,0.184294872,4.376602564,0.009615385,0.496794872,0.97275641,2.804487179,0.205128205,3.783653846,0.926282051,624,2025,3.245192308,succ
