@relation pima_diabetes
@attribute '规则1' numeric
@attribute '规则2' numeric
@attribute '规则3' numeric
@attribute '规则4' numeric
@attribute '规则5' numeric
@attribute '规则6' numeric
@attribute '规则7' numeric
@attribute '规则8' numeric
@attribute '规则9' numeric
@attribute '规则10' numeric
@attribute '规则11' numeric
@attribute '规则12' numeric
@attribute '规则13' numeric
@attribute '规则14' numeric
@attribute '规则15' numeric
@attribute '规则16' numeric
@attribute '规则17' numeric
@attribute '规则18' numeric
@attribute 'class' { unsucc, succ}
@data
0.054566,0.050623,0.047784,0.036903,0.03091,0.027598,0.023813,0.000158,0.023498,0.021448,0.000158,0.020659,0.02129,0.016243,0.016559,0.014193,0.009147,0.010882,succ
0.064256,0.044784,0.04548,0.043255,0.026426,0.023783,0.022392,0.020862,0.024478,0.022253,0.016134,0.019889,0.015855,0.01822,0.019054,0.019471,0.011544,0.011822,succ
0.061732,0.055977,0.046168,0.032697,0.02995,0.032631,0.021711,0.022234,0.023149,0.021057,0.019618,0.01661,0.01831,0.01491,0.014779,0.013863,0.006932,0.013079,unsucc
0.068689,0.06189,0.060495,0.029463,0.036785,0.033821,0.03295,0.026499,0.021618,0.014296,0.023187,0.020572,0.017259,0.012204,0.015342,0.012552,0.006625,0.009066,succ
0.000177,0.000177,0.000177,0.000177,0.000177,0.026664,0.000177,0.000177,0.000177,0.02172,0.000177,0.016422,0.019071,0.015893,0.014657,0.000177,0.000177,0.014833,succ
0.051459,0.0531,0.052983,0.031766,0.029305,0.030712,0.022741,0.019458,0.021686,0.023678,0.017231,0.020045,0.022037,0.016762,0.016294,0.012191,0.008674,0.01348,succ
0.064562,0.046389,0.046389,0.034433,0.02726,0.023434,0.023274,0.027897,0.022318,0.015463,0.023593,0.017057,0.014188,0.01626,0.011956,0.013072,0.017217,0.010043,succ
0.067507,0.052778,0.04975,8.20E-05,0.025203,0.023811,0.01972,0.022257,8.20E-05,8.20E-05,0.025284,0.012765,0.010556,8.20E-05,8.20E-05,0.015792,0.013256,8.20E-05,succ
0.057143,0.050618,0.050301,0.040165,0.026608,0.028952,0.020969,0.019385,0.023757,0.024073,0.017865,0.017612,0.015204,0.016345,0.012037,0.011783,0.010326,0.013937,unsucc
0.061088,0.054158,0.049281,0.035421,0.030416,0.028362,0.023742,0.018224,0.022202,0.022844,0.015144,0.017582,0.020406,0.015529,0.016555,0.013604,0.007829,0.0154,succ
0.067552,0.056149,0.054561,0.031611,0.027281,0.030456,0.022517,0.020064,0.023528,0.016311,0.020785,0.021363,0.01963,0.016599,0.014001,0.018331,0.00996,0.011692,succ
0.070673,0.066036,0.065665,0.025784,0.02263,0.047858,0.020961,0.015396,0.020219,0.022445,0.014654,0.014283,0.017436,0.012428,0.012428,0.013356,0.009831,0.01317,succ
0.054174,0.050917,0.052003,0.03105,0.027901,0.025622,0.01965,0.01813,0.018348,0.019976,0.017262,0.016611,0.018348,0.013462,0.012919,0.011508,0.013788,0.011074,succ
0.041281,0.039596,0.043808,0.039596,0.026959,0.026116,0.020219,0.038753,0.016007,0.018534,0.031171,0.023589,0.018534,0.01011,0.007582,0.01011,0.00674,0.007582,succ
0.051883,0.055147,0.053282,0.031596,0.033462,0.041273,0.027049,0.012009,0.018188,0.026466,0.011309,0.026,0.023202,0.018655,0.014341,0.017139,0.002798,0.011076,succ
